title,link
关于开展“不忘初心 牢记使命 听党话 跟党走”主题知识竞赛活动的通知,https://saids.ustc.edu.cn/_redirect?siteId=382&columnId=15435&articleId=265627
西校区研究生公寓等地封闭施工通知,https://saids.ustc.edu.cn/_redirect?siteId=382&columnId=15435&articleId=265625
关于举行2018届本科生毕业典礼暨学位着装授予仪式的通知,https://saids.ustc.edu.cn/_redirect?siteId=382&columnId=15435&articleId=265631
关于举办“健康有约”——甲状腺结节知识讲座的通知,https://saids.ustc.edu.cn/_redirect?siteId=382&columnId=15435&articleId=265623
关于举行2018届研究生毕业典礼暨学位着装授予仪式的通知,https://saids.ustc.edu.cn/_redirect?siteId=382&columnId=15435&articleId=265630
智能报销系统操作指南,https://finance.ustc.edu.cn/2024/1009/c21818a656058/page.htm
日常经济业务财务报销指南,https://finance.ustc.edu.cn/2024/0606/c21818a643244/page.htm
2023年度科研财务管理业务培训会资料,https://finance.ustc.edu.cn/2023/1211/c21818a624257/page.htm
调账清单模板(科研用),https://finance.ustc.edu.cn/2023/0609/c21818a605505/page.htm
2022年度业务培训与交流会培训资料,https://finance.ustc.edu.cn/2022/1130/c21818a582916/page.htm
外币汇款情况说明表,https://finance.ustc.edu.cn/2022/0609/c21818a557842/page.htm
中国科学技术大学科研项目预算调整审批表,https://finance.ustc.edu.cn/2022/0519/c21818a554875/page.htm
费用报销单,https://finance.ustc.edu.cn/2022/0304/c21818a547803/page.htm
2021年度业务培训与交流会培训资料,https://finance.ustc.edu.cn/2021/0712/c21818a516885/page.htm
财务审批签字手迹备案表,https://finance.ustc.edu.cn/2021/0706/c21818a516245/page.htm
签领表,https://finance.ustc.edu.cn/2021/0624/c21818a514293/page.htm
中国科学技术大学预开收据(发票)申请表,https://finance.ustc.edu.cn/2020/0730/c21818a441248/page.htm
非居民纳税人享受协定待遇信息报告表,https://finance.ustc.edu.cn/_upload/article/files/c3/c5/af5c8e76480298752e231374be49/8b4da3d6-f661-44d2-b347-273aa83326eb.xls
财务处网上报账业务授权申请书,https://finance.ustc.edu.cnhttps://service.ustc.edu.cn/fe/taskCenter/matterApplication?app_id=233
学生报账员培训交流会资料——喀斯玛平台订单财务报账流程介绍,https://finance.ustc.edu.cn/_upload/article/files/04/d1/a26cc42c46e0bf24fbe029303ced/f9a2c083-8e87-4f57-bda5-4a377e99a325.pdf
学生报账员培训交流会资料——财务综合信息平台介绍,https://finance.ustc.edu.cn/_upload/article/files/12/26/8eac75764cb99c14539d5e0c3ce0/be179667-45b2-44bc-aac2-598cabd9571a.pdf
学生报账员培训交流会资料——财务基本情况介绍,https://finance.ustc.edu.cn/_upload/article/files/68/31/d8b3c6d64292b1dc896bf5f79d18/db9a815c-8b56-4268-9e7c-8420493b803e.pdf
2019年小金库专项治理自查自纠情况表（各单位填）,https://finance.ustc.edu.cn/_upload/article/files/cb/4a/c92df3434493a2c583ec7a596478/e49909d9-eac6-447c-99ca-96a5cd0f9d44.xls
领款单,https://finance.ustc.edu.cn/_upload/article/files/7b/40/93b3ec064131a2248384bd31eefd/b3ca75a9-2c23-4794-9bda-999926a1486c.pdf
